epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
72,1.7536500206305867,3.360347662653242,9762344,0.84008692331346,0.33606794183807714,0.05226962481226238,2.68823846748897,0.5516791045665741,0.47773414850234985,0.1222286554319518,0.15918920082705362,0.7405057208878654,0.5116781485932214,0.4990511621747698,0.7349997822727475,0.038202421739697456,0.13435229978391103,-1.7441611524139131
73,1.7358048341813543,3.38919130393437,9762344,0.847297830041498,0.33678744786552023,0.0527470761111804,2.662825337478093,0.5494448031697955,0.4835438770907266,0.12541037797927856,0.15997023986918585,0.7367531401770455,0.5630923126425061,0.5037793389388493,0.7234419626849038,0.03786329206611429,0.1339554094842502,-1.7327506755079543
74,1.7233464685933928,3.2305212361471995,9762344,0.8076303055776017,0.33218696899712086,0.07580292224884033,2.5878379940986633,0.5444810049874442,0.49004117931638447,0.1220013222524098,0.1589334277170045,0.7424531749316624,0.48332137295178007,0.4917784631252289,0.7462309300899506,0.03736053300755365,0.13355498015880585,-1.675513595342636
75,1.7026901191898753,3.170712045260838,9762344,0.7926779973453708,0.3302438682211297,0.08702446626765392,2.5438635732446397,0.5414044260978699,0.4970821269920894,0.12222759638513837,0.15881268680095673,0.7429404258728027,0.46772223923887524,0.48755606583186556,0.7529702548469815,0.03689858051283019,0.1332022941538266,-1.6448949426412582
76,1.6845323567589126,3.1388889210564748,9762344,0.7847222038544716,0.32908894148256096,0.09531887993216503,2.5166328293936595,0.5391474068164825,0.5037025340965816,0.12303036451339722,0.15881898360592978,0.7425462348120553,0.4625621203865324,0.4852448446410043,0.7558919531958443,0.03666350112429687,0.1331445308668273,-1.6208652023758208
77,1.6662546523979733,3.0891135334968567,9762344,0.7722783994727901,0.32739873017583576,0.1089476171348776,2.46990014399801,0.5356843769550323,0.5089451330048698,0.1234569645353726,0.1589152685233525,0.7426940713609967,0.4594534145934241,0.4824099327836718,0.7592255004814693,0.03630307476435389,0.13258534244128636,-1.5750742363078254
78,1.6487647167273929,3.055246480873653,9762344,0.7638116009267313,0.32625363022089005,0.11308737471699709,2.4372217868055617,0.532821033682142,0.514708936214447,0.12388151245457786,0.15890726234231675,0.7428330949374607,0.4578437464577811,0.4804735311440059,0.7618665269442967,0.03629935798900468,0.13281269371509552,-1.5670590592282159
79,1.631472455426341,3.0447349718638828,9762344,0.7611837214125053,0.32517267683787004,0.12756789262805662,2.4235841631889343,0.5313886872359684,0.520619375365121,0.12459097802639008,0.15884400052683695,0.7425515140805926,0.46070670655795504,0.47835294689450947,0.7637163060052055,0.035853037876742225,0.13210507269416535,-1.5166156249386924
80,1.6146144576015926,3.0115479912076677,9762344,0.7528869842312166,0.32383627231631956,0.13330777894173357,2.390847844736917,0.5288243804659162,0.525954123054232,0.12498673903090614,0.15869387877838953,0.7427446118422917,0.4599121106522424,0.4757337825638907,0.7664843031338283,0.035801242504801066,0.13209304745708192,-1.501951922263418
81,1.5969233005529357,2.96765341929027,9762344,0.7419133673288993,0.3222549076059035,0.14356192041720667,2.350879260471889,0.525812668459756,0.5320815145969391,0.12533569229500635,0.15859791742903845,0.7430291729313987,0.4557868731873376,0.4727716190474374,0.7702219060489109,0.035651643361364095,0.13183742548738206,-1.4710849119084222
